,Q_Value,Morans I,Moran I p,Mean,Variance,N
highway_residential,0.14870982985231562,0.43700653797138994,0.0,1.760975039457532,7.512575374778852,39656
highway_primary,0.04372882064704231,0.24608103592992692,0.0,0.1585900508563746,1.175585736366789,3679
amenity_hospital,0.022496977785209094,0.026386071820717914,0.00011214296598627271,0.002805868942538142,0.003031818453893621,53
amenity_place_of_worship,0.012139872683764374,0.08717092989151762,0.0,0.007131583562284445,0.008366747343508582,139
amenity_police,0.00513590492241911,-0.0017787483104830097,0.8015984787750405,0.001753668089086339,0.001750592737319659,32
amenity_school,0.019287245386959473,0.05174510528716025,3.8191672047105385e-14,0.008359151224644883,0.008990743051082934,173
amenity_restaurant,0.020751209198175746,0.07672852335340896,0.0,0.013327877477056176,0.039572177701246936,234
leisure_*,0.06878682166092132,0.17330552860725904,0.0,0.06044309347050915,0.10367111950379926,1285
tourism_*,0.00804397855478134,0.3737815628258935,0.0,0.010580464137487578,0.0587528459689668,188
shop_mall,0.01964331686336085,0.03962020935922876,6.8005701070461555e-09,0.0030981469573858654,0.0032054596487553965,63
shop_supermarket,0.004663346377955624,-0.002250676362500636,0.7488073132258679,0.0022797685158122407,0.0023914823772656405,53
highway_bus_stop,0.04646903204654329,0.064511536592408,0.0,0.022505407143274682,0.02749374047172732,396
natural_sand,0.0028502772741092475,0.05062409292788699,1.3300471835009375e-13,0.001929034897994973,0.002042224928296379,44
natural_wood,0.006193795150015169,0.057752374681937314,0.0,0.002864324545507687,0.0039083210438574925,62
natural_beach,0.010973913204275654,0.1811227084902226,0.0,0.0015198456772081603,0.002569736599777435,27
