,Q_Value,Morans I,Moran I p,Mean,Variance,N
highway_residential,0.356731613473931,0.5890162913627495,0.0,153.01895734597156,19255.307697491073,39656
highway_primary,0.3657520450170061,0.21011656586456132,0.0011420290514496667,14.109004739336493,829.774847824622,3679
amenity_hospital,0.47185527535542116,0.3101816554638016,1.862207686942341e-06,0.23222748815165878,0.5764021473012736,53
amenity_place_of_worship,0.3983691046367236,0.34476907800980594,1.2135833338255964e-07,0.6066350710900474,1.5466858336515352,139
amenity_police,0.42155846791278095,0.14780122426689002,0.02091005906607113,0.14218009478672985,0.15987960737629436,32
amenity_school,0.5281396731241081,0.46771482988182755,8.51096970677645e-13,0.7582938388625592,2.3823364255070643,173
amenity_restaurant,0.3817141284084703,0.34856686006846005,8.847506238751635e-08,1.09478672985782,9.87727140001348,234
leisure_*,0.5555024843415097,0.5485936132354704,0.0,5.450236966824645,86.09586487275668,1285
tourism_*,0.14404826603049792,0.17371468390448114,0.006894447055900033,0.8767772511848341,18.66728060915074,188
shop_mall,0.37179712889103733,0.17152274273341495,0.007614157119245402,0.27488151658767773,0.7964780665304012,63
shop_supermarket,0.27506983675572816,0.1472766728012734,0.021354155862239654,0.2132701421800948,0.3194447564070887,53
highway_bus_stop,0.593354704266496,0.609423305925883,0.0,1.8578199052132702,12.036656858561125,396
natural_sand,0.12478746093646065,0.135647512107226,0.03353546696512977,0.16587677725118483,0.2900204397924575,44
natural_wood,0.20924589451436204,0.145371522646548,0.023036906073546026,0.26540284360189575,1.104916780844994,62
natural_beach,0.40547451550594804,0.40310719633946446,6.633111837572869e-10,0.12796208530805686,0.500213382448732,27
