,Q_Value,Morans I,Moran I p,Mean,Variance,N
kde:amenity_hospital,0.7392952582840959,0.9090331645918515,0.0,2.6688875427330685,5.593889047212457,53
kde:amenity_place_of_worship,0.6065959513430392,0.8522167694249099,0.0,1.6544142210776123,12.315720230685919,139
kde:amenity_police,0.8935444780847297,0.9869431680084322,0.0,2.465818812022417,7.611267363630453,32
kde:amenity_school,0.5872173581391249,0.855445418668205,0.0,2.395656719090339,5.849786374708516,173
kde:amenity_restaurant,0.7847134217177503,0.9404349643268813,0.0,-5.045956223922868,91.97511077728213,234
kde:leisure_*,0.454322464877261,0.7770321738011425,0.0,-0.5117676566529198,26.97402032195082,1285
kde:tourism_*,0.7812629080464574,0.9266018076037967,0.0,-3.177066064999046,66.45789242441185,188
kde:shop_mall,0.7175116603063418,0.8937532786389348,0.0,-0.8336395722170161,26.316708383549265,63
kde:shop_supermarket,0.6017811192337434,0.8371643181707468,0.0,3.099112003338949,2.8136446062496545,53
kde:highway_bus_stop,0.6608063742064638,0.8811047249789868,0.0,-0.3993817608201754,26.041338215062446,396
kde:natural_sand,0.8281406240109286,0.967360277865422,0.0,0.918180163876431,18.04936307228945,44
kde:natural_wood,0.6710596507091128,0.8731320001251038,0.0,1.963446145277362,6.354181812761298,62
kde:natural_beach,0.8385357754598673,0.951912710245147,0.0,-2.479947618633606,36.437034042832515,27
kde:highway_residential,0.5208288006945105,0.8091089988775307,0.0,3.2013283212364927,3.3903122800199292,39656
kde:highway_primary,0.4809543863978305,0.8292889020149802,0.0,-5.781224024107373,83.4166165349069,3679
