,Q_Value,Morans I,Moran I p,Mean,Variance,N
kde:amenity_hospital,0.7512181019859417,0.9699428784184598,0.0,2.8610347190159158,5.51313607141763,53
kde:amenity_place_of_worship,0.6367035963736204,0.92661259671566,0.0,2.0219192546102653,11.071946747015831,139
kde:amenity_police,0.9090231496471398,0.9878469723198914,0.0,2.590734541195335,7.452647273138077,32
kde:amenity_school,0.6099139331146228,0.925980888677652,0.0,2.610862506550056,5.462945901292634,173
kde:amenity_restaurant,0.8136204507768173,0.9659773649782997,0.0,-4.355761681194203,86.54474130881947,234
kde:leisure_*,0.4305036823575237,0.8645647899411434,0.0,-0.00700012872730491,26.80542657270722,1285
kde:tourism_*,0.8045142011691284,0.967087576473686,0.0,-2.701205486368538,62.49355512111556,188
kde:shop_mall,0.7505873888159851,0.9641489362797754,0.0,-0.4979215112064621,25.085948295251153,63
kde:shop_supermarket,0.6200015322804918,0.9240690785061918,0.0,3.2954237449795762,2.428461976549298,53
kde:highway_bus_stop,0.64919314502097,0.9250510860096642,0.0,-0.022729930021021156,26.227548588126933,396
kde:natural_sand,0.8499738895528786,0.973623325509147,0.0,0.9966493171471956,18.367176356698558,44
kde:natural_wood,0.675488951243027,0.9521545968438059,0.0,2.0909537158075513,6.537200798346645,62
kde:natural_beach,0.8598017957104906,0.9793677239880354,0.0,-2.256503204553846,35.09937951609973,27
kde:highway_residential,0.49341154401253995,0.8586950372689116,0.0,3.431460113019552,2.871532744811041,39656
kde:highway_primary,0.42072020072488714,0.8818701319615763,0.0,-5.225690392221913,83.42938064235184,3679
